product_name,short_description,description,recommended_price,stock,insurance_label,upgrade_source_type,upgrade_target,market_lowest_usd,market_listing_count,cheapest_seller,our_cost_usd,margin_usd,from_ship,to_ship,insurance_months,from_msrp,to_msrp
Upgrade - Vanguard Sentinel to Constellation Aquila Warbond Edition,"CCU: Vanguard Sentinel → Constellation Aquila | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Sentinel → Constellation Aquila

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Sentinel into a Constellation Aquila without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.99,5,120 months,warbond,Constellation Aquila,28.99,4,Seller: DocsCosmicShop,15.00,12.99,Vanguard Sentinel,Constellation Aquila,120,275,315
Upgrade - Constellation Aquila to Constellation Phoenix Emerald Standard Edition,"CCU: Constellation Aquila → Constellation Phoenix Emerald | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Aquila → Constellation Phoenix Emerald

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Aquila into a Constellation Phoenix Emerald without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",53.48,1,no ins.,regular,Constellation Phoenix Emerald,54.48,6,"Seller: Deonlydon
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",35.00,18.48,Constellation Aquila,Constellation Phoenix Emerald,0,315,350
Upgrade - Vulture to Constellation Taurus Warbond Edition,"CCU: Vulture → Constellation Taurus | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vulture → Constellation Taurus

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vulture into a Constellation Taurus without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.99,2,120 months,warbond,Constellation Taurus,29.99,4,Seller: DocsCosmicShop,10.00,18.99,Vulture,Constellation Taurus,120,175,200
Upgrade - Defender to Corsair Warbond Edition,"CCU: Defender → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Defender → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Defender into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.97,6,120 months,warbond,Corsair,19.97,10,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.97,Defender,Corsair,120,220,250
Upgrade - Railen to Corsair Warbond Edition,"CCU: Railen → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Railen → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Railen into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",11.56,2,120 months,warbond,Corsair,12.56,8,"Seller: ElectricusSC
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,6.56,Railen,Corsair,120,225,250
Upgrade - Defender to Corsair Warbond Edition,"CCU: Defender → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Defender → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Defender into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.97,2,120 months,warbond,Corsair,19.97,10,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.97,Defender,Corsair,120,220,250
Upgrade - Terrapin to Corsair Warbond Edition,"CCU: Terrapin → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.00,1,120 months,warbond,Corsair,19.00,9,"Seller: The Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,8.00,Terrapin,Corsair,120,220,250
Upgrade - Terrapin to Corsair Warbond Edition,"CCU: Terrapin → Corsair | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Corsair

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.00,1,120 months,warbond,Corsair,19.00,9,"Seller: The Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,13.00,Terrapin,Corsair,120,220,250
Upgrade - Vulcan to Corsair Standard Edition,"CCU: Vulcan → Corsair | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vulcan → Corsair

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vulcan into a Corsair without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",48.99,1,no ins.,regular,Corsair,49.99,9,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",15.00,33.99,Vulcan,Corsair,0,200,250
Upgrade - F7C-M Super Hornet Heartseeker to Defender Warbond Edition,"CCU: F7C-M Super Hornet Heartseeker Mk I → Defender | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | F7C-M Super Hornet Heartseeker Mk I → Defender

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged F7C-M Super Hornet Heartseeker Mk I into a Defender without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.62,2,no ins.,warbond,Defender,28.62,6,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,22.62,F7C-M Super Hornet Heartseeker Mk I,Defender,0,200,220
Upgrade - Constellation Taurus to Defender Warbond Edition,"CCU: Constellation Taurus → Defender | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Taurus → Defender

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Taurus into a Defender without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.63,1,no ins.,warbond,Defender,28.63,10,"Seller: Discount Store
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,17.63,Constellation Taurus,Defender,0,200,220
Upgrade - Cutlass Red to F7C-R Hornet Tracker Standard Edition,"CCU: Cutlass Red → F7C-R Hornet Tracker Mk I | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Red → F7C-R Hornet Tracker Mk I

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Red into a F7C-R Hornet Tracker Mk I without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.52,1,no ins.,regular,F7C-R Hornet Tracker Mk I,29.52,4,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,23.52,Cutlass Red,F7C-R Hornet Tracker Mk I,0,135,150
Upgrade - Prospector to F7C-R Hornet Tracker Mk II Warbond Edition,"CCU: Prospector → F7C-R Hornet Tracker Mk II | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prospector → F7C-R Hornet Tracker Mk II

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prospector into a F7C-R Hornet Tracker Mk II without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",19.00,2,120 months,warbond,F7C-R Hornet Tracker Mk II,20.00,5,Seller: Blackrock Exchange,10.00,9.00,Prospector,F7C-R Hornet Tracker Mk II,120,155,185
Upgrade - Legionnaire to F7C-S Hornet Ghost Standard Edition,"CCU: Legionnaire → F7C-S Hornet Ghost Mk I | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Legionnaire → F7C-S Hornet Ghost Mk I

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Legionnaire into a F7C-S Hornet Ghost Mk I without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",63.89,1,no ins.,regular,F7C-S Hornet Ghost Mk I,64.89,2,"Seller: warbondcentral
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,58.89,Legionnaire,F7C-S Hornet Ghost Mk I,0,120,140
Upgrade - Prospector to F7C-S Hornet Ghost Mk II Warbond Edition,"CCU: Prospector → F7C-S Hornet Ghost Mk II | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prospector → F7C-S Hornet Ghost Mk II

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prospector into a F7C-S Hornet Ghost Mk II without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",19.00,2,no ins.,warbond,F7C-S Hornet Ghost Mk II,20.00,5,Seller: Blackrock Exchange,10.00,9.00,Prospector,F7C-S Hornet Ghost Mk II,0,155,185
Upgrade - Reliant Mako to Freelancer Warbond Edition,"CCU: Reliant Mako → Freelancer | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Reliant Mako → Freelancer

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Reliant Mako into a Freelancer without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.99,1,no ins.,warbond,Freelancer,19.99,9,"Seller: Stanton Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,13.99,Reliant Mako,Freelancer,0,95,110
Upgrade - Mantis to Gladiator Warbond Edition,"CCU: Mantis → Gladiator | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Mantis → Gladiator

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Mantis into a Gladiator without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",21.95,2,120 months,warbond,Gladiator,22.95,8,"Seller: Star Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,16.95,Mantis,Gladiator,120,150,165
Upgrade - Railen to Guardian Warbond Edition,"CCU: Railen → Guardian | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Railen → Guardian

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Railen into a Guardian without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",9.99,2,no ins.,warbond,Guardian,10.99,8,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,4.99,Railen,Guardian,0,225,250
Upgrade - Vanguard Warden to Guardian MX Warbond Edition,"CCU: Vanguard Warden → Guardian MX | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Warden → Guardian MX

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Warden into a Guardian MX without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",14.00,1,120 months,warbond,Guardian MX,15.00,10,"Seller: L4ndry
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,4.00,Vanguard Warden,Guardian MX,120,260,290
Upgrade - Cutlass Steel to Guardian QI Warbond Edition,"CCU: Cutlass Steel → Guardian QI | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Steel → Guardian QI

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Steel into a Guardian QI without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.99,2,no ins.,warbond,Guardian QI,19.99,6,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,13.99,Cutlass Steel,Guardian QI,0,235,260
Upgrade - Constellation Taurus to Hurricane Standard Edition,"CCU: Constellation Taurus → Hurricane | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Constellation Taurus → Hurricane

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Constellation Taurus into a Hurricane without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",13.35,1,no ins.,regular,Hurricane,14.35,9,"Seller: Drake Store
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,8.35,Constellation Taurus,Hurricane,0,200,210
Upgrade - Prowler to Ironclad Standard Edition,"CCU: Prowler → Ironclad | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prowler → Ironclad

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prowler into a Ironclad without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",21.81,10,no ins.,regular,Ironclad,22.81,8,"Seller: MightsStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",10.00,11.81,Prowler,Ironclad,0,440,450
